Year,Month,Day,Date,Carapetyan Address,Carapetyan Country,Sender,Recipient,Substance of Correspondence,Archive,Archival Signature,Notes
1973,12,18,1973-12-18,,,Erwin R. Jacobi,Armen Carapetyan,Royalties are less than the costs he has incurred for the Jean-Philippe Rameau edition. He needs to support his family; he describes his past as a Holocaust survivor.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 34:11",
1974,1,20,1974-1-20,,,Armen Carapetyan,Donald J. Grout,Carapetyan is ill with shingles.,"Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1974,1,30,1974-1-30,,,Erwin R. Jacobi,Armen Carapetyan,"""Sometimes I have the impression that you, from the throne of your mighty position as Director and General Editor of one of the largest publishing houses in the field treat me, your completely dependent and powerless author, as one treats a dirty dog who is a nuisance to everybody.""",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 34:11",
1974,2,4,1974-2-4,"Monteacuto, 50010 Candeli (Florence)",Italy,Harriette Carapetyan,Margaret Bent,"Carapetyan is ill, encloses letter, and thanks Bent for the Christmas greetings.",Private,Margaret Bent,
1974,2,11,1974-2-11,"Monteacuto, 50010 Candeli (Florence)",Italy,Harriette Carapetyan,Margaret Bent,"Bent has not responded to Carapetyan's letter from 12 December 1973, possibly due to move; Carapetyan resends the letter.",Private,Margaret Bent,
1974,2,26,1974-2-26,,,Armen Carapetyan,Erwin R. Jacobi,"""You are mocking me again. The mention in my circular of 'special arrangement' meant just that, specifically gone into with certain collaborators because of special circumstances... I have during the past year made myself clear to you. I consider myself totally free of any obligation to you, but certainly grossly, even cruelly, abused by you."" ""The production costs of 1973... were crushing. I am facing tax time – more than crushing.""",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 34:11",
1974,3,1,1974-3-1,,,Jo. C. Williamson,Armen Carapetyan,The legal representation for Dragan Plamenac objects to the suspension of royalty.,"Yale University, Irving S. Gilmore Music Library","MSS 45 (Dragan Plamenac Papers), Box 1, Folder 1",
1974,3,9,1974-3-9,,,Armen Carapetyan,Dragan Plamenac,"""My circular letter… 'proposed' a 'suspension' of royalty."" Plamenac signed a contract in 1964 and then did not complete the work on time; Ludwig Finscher wrote to Carapetyan that ""I shall never forget that you offered me publication of my doctoral dissertation when no publisher in Germany dreamt of risking the involvement with an unknown young scholar...""","Yale University, Irving S. Gilmore Music Library","MSS 45 (Dragan Plamenac Papers), Box 1, Folder 1",
1974,3,11,1974-3-11,,,Erwin R. Jacobi,Harriette Carapetyan,"Jacobi insists on payments for 1972 and 1973, despite the circular; he is willing to delay payments, but will not renounce them.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 34:11",
1974,3,31,1974-3-31,,,Dragan Plamenac,Armen Carapetyan,"Plamenac is upset about nullification of contracts; argues that Carapetyan was not truthful about the fifteen free copies; Carapetyan had agreed to pay for films, but now wanted to deduct the costs from Plamenac's royalties.","Yale University, Irving S. Gilmore Music Library","MSS 45 (Dragan Plamenac Papers), Box 1, Folder 1",
1974,4,1,1974-4-1,,,Armen Carapetyan,Donald J. Grout,"Carapetyan lost a lot of money selling old Spain property (for $75,000, would be worth $300,000 now); ""I have had to send out a circular letter on royalty, explaining today's situation and proposing suspension… The response has been wonderful, heartwarming. But two have been another matter,"" except Jacobi and Plamenac, who has involved his lawyer.","Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1974,4,4,1974-4-4,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi's legal advisor mentioned that one side cannot cancel a contract without consent of the other and is happy to hand it off to his legal advisor.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 34:11",
1974,4,17,1974-4-17,,,Armen Carapetyan,Dragan Plamenac,"""The scores of collaborators who have almost unanimously been sympathetic, generous and grateful in response to my circular letters must, in the face of your spirit and your behavior, be wildly abnormal… Why should you have said a word of appreciation for my thankless toil in producting your edition...""; ""I deplore the day you called on me, uninvited, at the Torre di Bellosguardo.""; ""The series CMM has some 150 subscriptions. After this initial distribution it takes years to diminish the printed stock of these 500-copy editions. After 28 years we have exhausted only two or three items.""","Yale University, Irving S. Gilmore Music Library","MSS 45 (Dragan Plamenac Papers), Box 1, Folder 1",
1974,4,20,1974-4-20,,,Harriette Carapetyan,Erwin R. Jacobi,"Among those who responded positively to the circular were Albert Seay, Richard Hoppin, and Carol MacClintock; Carapetyan had not planned on the author engaging in business himself, which takes away from business by AIM.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 34:11",
1974,4,25,1974-4-25,44 Via San Leonardo 50125 Florence,Italy,Dragan Plamenac,Armen Carapetyan,"""Enclosed is your check; I do not accept money enclosed in letters such as the one that I just received from you. I deeply deplore having ever consented to enter into business relations with you. I do not expect, nor do I wish, any further correspondence.""","Yale University, Irving S. Gilmore Music Library","MSS 45 (Dragan Plamenac Papers), Box 1, Folder 1",
1974,4,29,1974-4-29,,,Erwin R. Jacobi,Harriette Carapetyan,Jacobi raises issues with author's copies and insists that the contract is still valid.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 34:11",
1974,5,24,1974-5-24,,,Erwin R. Jacobi,Harriette Carapetyan,Jacobi is annoyed that Hänssler does not want to grant a 15% price reduction on future volumes of the Jean-Philippe Rameau edition.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 34:11",
1974,6,17,1974-6-17,,,Harriette Carapetyan,Erwin R. Jacobi,"Carapetyan had turned to the editors with a request of ""mutual sacrifice""; Carapetyan considers the contract broken; at one point, Carapetyan sold his library to support AIM.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 34:11",
1974,7,3,1974-7-3,,,Erwin R. Jacobi,Harriette Carapetyan,Jacobi is sending a complete edition of the Jean-Philippe Rameau edition to Dresden.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 34:11",
1974,8,5,1974-8-5,"Monteacuto, 50010 Candeli (Florence)",Italy,Armen Carapetyan,Donald J. Grout,"""When you pay for a modest volume (CSM) sums like $16000, as was the case recently (for only 500 copies and paper supplied by me); when what used to cost for engraving alone about two to three thousand and now comes to $8520 (just now the latest [Cipriano de] Rore volume), to finish around $15,000, if lucky, by the time it is printed with the introduction, and when at the same time the stock market... will do as it has done, matters do indeed change shape."" Germany seems better than America for a landing place for his business.","Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1974,8,12,1974-8-12,,,Erwin R. Jacobi,Harriette Carapetyan,Jacobi has not received a response from Carapetyan for his letter from 3 July.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 34:11",
1974,8,27,1974-8-27,44 Via San Leonardo 50125 Florence,Italy,Armen Carapetyan,Margaret Bent,"""I have no quarrel with you for wishing your royalty, since I had been, and was, unrealistic enough to offer it. Times have changed and all that is finished. From now on, not only is there to be no royalty, but every considerable project must have some subsidy. Well, at least in the case of [the Old Hall Manuscript] there was something – a rare case then. On the other hand, I don't mind telling you that OH has been one of the most onerous editions in CMM, especially volume III. The matter was made worse by the great delays, part of which by the inescapable fact of two editors separated by the Atlantic""; ""By the way, there was never the faintest idea of handing over the AIM to Bärenreiter (God help us!), or for that matter to the AMS. The AMS approached me some years ago for some sort of connection between itself and the AIM. We lost much time in correspondence, which did not surprise me, since I had been quite skeptical but responded out of courtesy. For your information, there is active interest on the part of a good many Amercian musicologists to assure continuity in which I have endeavored to accomplish. It remains to be seen what, if anything, will come out of it all. Clearly, nothing can be expected of a vast national society as the AMS.""",Private,Margaret Bent,
1974,10,21,1974-10-21,44 Via San Leonardo 50125 Florence,Italy,Armen Carapetyan,Erwin R. Jacobi,"Jacobi had his lawyer send a letter to Hänssler Verlag. Jacobi had promised the edition would be complete in 1967, not 1973; the last volume alone cost half of the original budget. Printers thought Jacobi was crazy; article XI stipulates that litigation can only be affected in the State of Texas, so Carapetyan wonders, why threaten Hänssler? ""You and [Dragan] Plamenac make a pair, embittering my experience of 29 years in this noble undertaking.""",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 34:11",
1974,11,15,1974-11-15,44 Via San Leonardo 50125 Florence,Italy,Armen Carapetyan,Donald J. Grout,"""My costs of book production are by now higher in Europe than they would probably be in America, but at this hour of day I don't feel I can or want to make a change.""","Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1974,12,24,1974-12-24,44 Via San Leonardo 50125 Florence,Italy,Erwin R. Jacobi,Armen Carapetyan,"Jacobi had his Zürich lawyer send a letter to Hänssler Verlag; ""I do not want my wife [to] inherit an unpleasant situation. We have none other. Yours is the only unpleasantness on the scene, thanks to your extraordinary character."" ""One other exception was [Dragan] Plamenac who has been set aside by a deserved reprimand and by an advance payment in riddance that will never be earned by his edition."" Subscriptions have reached saturation.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 34:11",
1975,1,8,1975-1-8,44 Via San Leonardo 50125 Florence,Italy,Armen Carapetyan,Erwin R. Jacobi,"Carapetyan was unimpressed by a letter from Jacobi's lawyer (Mr. Ballin); ""I am not changing my attitude""; ""The Institute is clear of America""; ""Do not waste time sending me reproductions of reviews. First: I receive the publications from which you reproduce the reviews. Second: Those reviews do not interest me.""",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 34:11",
1975,1,15,1975-1-15,44 Via San Leonardo 50125 Florence,Italy,Erwin R. Jacobi,Armen Carapetyan,"Jacobi ordered a copy of the Jean-Philippe Rameau edition to be sent to Dresden; when he did not pay, Hänssler Verlag decided to handle the affair through his lawyers in Germany and Zürich; Hug & Co. wanted to publish the Armen Carapetyan circular, but Jacobi did not give them the letter; Jacobi sold his music library (rare items) to the university library; as a ""free lancer"" he had to live on the basis of his modest income (no pension).",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 34:11",
1975,1,16,1975-1-16,44 Via San Leonardo 50125 Florence,Italy,Erwin R. Jacobi,Harriette Carapetyan,Jacobi suggests new accounting practices for AIM.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 34:11",
1975,1,22,1975-1-22,44 Via San Leonardo 50125 Florence,Italy,Harriette Carapetyan,Erwin R. Jacobi,"""You are the only editor to whom we are now sending royalties. Others were quite willing to be helpful in these difficult times and showed a heart warming sympathy and understanding""; Jacobi blamed the Carapetyans for delays, when in fact, it was Jacobi himself who was responsible. ""Hänssler Verlag is our distributor, not the keeper of our contracts. Your sending a xerox copy of yours and our very personal document was, in fact, one of the most extraordinary and distasteful procedures my husband has met in his long career."" For volumes, Carapetyan tells Jacobi to talk to Hänssler Verlag.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 34:11",
1975,1,25,1975-1-25,,,Armen Carapetyan,Donald J. Grout,"""I am still struggling with piled-up work.""","Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1975,2,4,1975-2-4,44 Via San Leonardo 50125 Florence,Italy,Erwin R. Jacobi,Harriette Carapetyan,"""I simply am unable [t]o understand why Hänssler Verlag cannot in the future prepare the annual statement for you and send me 10% of your net income?"" Jacobi is annoyed that AIM is not interested in having him do exchanges with East Germany.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 34:11",
1975,2,21,1975-2-21,,,Dragan Plamenac,Armen Carapetyan,Plamenac wants to make sure the addendum has been inserted.,"Yale University, Irving S. Gilmore Music Library","MSS 45 (Dragan Plamenac Papers), Box 1, Folder 1",
1975,4,9,1975-4-9,,,Dragan Plamenac,Armen Carapetyan,"""Instead of a flood of invectives I expected a simple explanation of the fact that the completion of the volume is still held up after all problems regarding plates etc. had seemingly been solved… I was entitled to receive something else than a rude answer to an inquiry prompted by the interminable delay.""","Yale University, Irving S. Gilmore Music Library","MSS 45 (Dragan Plamenac Papers), Box 1, Folder 1",
1975,5,2,1975-5-2,44 Via San Leonardo 50125 Florence,Italy,Erwin R. Jacobi,Harriette Carapetyan,Jacobi questions AIM's accounting practices.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 34:11",
1975,6,3,1975-6-3,44 Via San Leonardo 50125 Florence,Italy,Harriette Carapetyan,Erwin R. Jacobi,"Harriette Carapetyan explains AIM's accounting practices; notes that ""Hänssler Verlag acts only as our distributer, not as our representative in any other way. They have, at any event, flatly stated that they will not be involved in any royalty statement for the publications they distribute.""",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 34:11",
1975,6,9,1975-6-9,44 Via San Leonardo 50125 Florence,Italy,Harriette Carapetyan,Margaret Bent,Harriette Carapetyan asks if Bent has received all of the volumes she ordered.,Private,Margaret Bent,
1975,6,26,1975-6-26,44 Via San Leonardo 50125 Florence,Italy,Harriette Carapetyan,Erwin R. Jacobi,Harriette Carapetyan explains how accounting for sales during the last quarter of 1974 are treated as 1975 income.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 34:11",
1975,7,14,1975-7-14,44 Via San Leonardo 50125 Florence,Italy,Edward Lowinsky,Armen Carapetyan,Lowinsky asks to use three madrigals published by CMM for his article on Italian mannerism; proposes visiting Carapetyan in September 1975.,"University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Series 1, Box 7, Folder 5",
1975,7,18,1975-7-18,44 Via San Leonardo 50125 Florence,Italy,Erwin R. Jacobi,Harriette Carapetyan,Jacobi acknowledges receipt of royalty; annoyed that Hänssler Verlag wants payment before books in CEKM edition are sent.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 34:11",
1975,7,26,1975-7-26,44 Via San Leonardo 50125 Florence,Italy,Armen Carapetyan,Edward Lowinsky,"Carapetyan agrees to a visit; Lowinsky is welcome to use passages; ""reminds me of [Leo] Schrade's long article many years ago, which I failed to understand, and asking [Alfred] Einstein about it got a confession that he too, as editor, had not understood it!""","University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Series 1, Box 7, Folder 5",
1975,7,30,1975-7-30,44 Via San Leonardo 50125 Florence,Italy,Edward Lowinsky,Armen Carapetyan,"“I had the same experience with [Leo] Schrade’s long article of the 1930[s], and [Alfred] Einstein told me too that he had not understood it. The way I remember him telling the story, Schrade submitted the article to him while he was still editor of the ""Zeitschrift für Musikwissenschaft"" and Einstein rejected the article precisely because he couldn’t make head or tail of it. Einstein of course lost his editorship as the Nazis came to power, and Schrade’s piece was eventually published in 1935, if memory serves, under a new editor.”","University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Series 1, Box 7, Folder 5",
1975,8,14,1975-8-14,,,Dragan Plamenac,Armen Carapetyan,"The Faenza Codex volume is dated 1972; ""I can think of no reason why its appearance should be interminably delayed.""","Yale University, Irving S. Gilmore Music Library","MSS 45 (Dragan Plamenac Papers), Box 1, Folder 1",
1975,9,9,1975-9-9,44 Via San Leonardo 50125 Florence,Italy,Bonnie Blackburn,Armen Carapetyan,"Blackburn is delighted that Carapetyan accepted the Johannes Lupi collected-works edition; ""It seems hardly believable that an artist of such great talent should be so little known. Yet, [Nicolas] Gombert and [Giovanni Pierluigi da] Palestrina thought highly enough of him to build a Mass on one of his chansons.""",Private,Bonnie Blackburn,
1975,9,9,1975-9-9,44 Via San Leonardo 50125 Florence,Italy,Edward Lowinsky,Armen Carapetyan,Lowinsky thanks Carapetyan for hosting him for dinner [note: there are two versions of this letter].,"University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Series 1, Box 7, Folder 5",
1975,10,11,1975-10-11,,,Dragan Plamenac,Armen Carapetyan,Plamenac thanks Carapetyan for sending free copies of the Faenza Codex volume to their intended address.,"Yale University, Irving S. Gilmore Music Library","MSS 45 (Dragan Plamenac Papers), Box 1, Folder 1",
1975,10,22,1975-10-22,44 Via San Leonardo 50125 Florence,Italy,Armen Carapetyan,Claude V. Palisca,"""Before we get involved with the AMS, I may be able to make some arrangement for the survival and continuation of the AIM on this side.""",University of Pennsylvania Special Collections,"Ms. Coll. 221 (American Musicological Society records), Box 105, Folder 3017",
1975,10,26,1975-10-26,44 Via San Leonardo 50125 Florence,Italy,Armen Carapetyan,Claude V. Palisca,"""I called off another negotiation with the AMS."" ""As it happened we were scheduled to be in Germany those days, and it was not unnatural to discuss the situation with [Friedrich] Hänssler. Not that he jumped at it. He is a steady, cautious man. But it is true that at first he did not quite grasp what a good thing it could be (just as the AMS did not two years ago). Gradually light was cast on the situation from the point of view of both sides (I myself not quite grasping the enormity of the new situation)."" ""I think that an easier, smoother transition, and in the long run safer progress is more likely with Hänssler [Verlag] than with the AMS. Ostensibly, by the way, nothing will change, as far as the broad public is concerned. I should still be the director and still (alas!) have the full load of the work. At this moment there are 47 items in the works. Later it is more likely that the bother - ever increasing bother - of book production be alleviated by Hännsler than the AMS, Hänssler being a publisher himself. Gradually, I would hope to be relieved of editorial work. I am not immortal. On the other hand, several American musicologists have repeatedly offered to take on duties. The name too will remain. In fact, as far as the public is concerned, the AIM will be in Italy, if we continue living in this impossible place, and in Germany; and that is the way it is now. Another question whether the public should know the noble treatment I get from the Government after 30 years of toil and sacrifice.""",University of Pennsylvania Special Collections,"Ms. Coll. 221 (American Musicological Society records), Box 105, Folder 3017",
1975,11,26,1975-11-26,44 Via San Leonardo 50125 Florence,Italy,Armen Carapetyan,Claude V. Palisca,"""I should like to retire, given the present circumstances, including the problem with the IRS. I am glad of and thankful for your closing words of understanding. And again I want to say my thanks for your personal part in the entire history of discussion on an AMS-AIM connection.""",University of Pennsylvania Special Collections,"Ms. Coll. 221 (American Musicological Society records), Box 105, Folder 3017",
1975,11,26,1975-11-26,44 Via San Leonardo 50125 Florence,Italy,Armen Carapetyan,Edward Lowinsky,The Carapetyans visited Armenia.,"University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Series 1, Box 7, Folder 5",
1976,1,5,1976-1-5,,,Armen Carapetyan,Donald J. Grout,"""I assume that you know that the IRS suddenly put us on inventory basis after letting us accumulate an enormous stock all these 29 years. The result is simply and plainly devastating… I think all we may manage is a slight decrease in the additional tax (nearly $50000) for 1974... 1975 will be still another blow""; ""I am transferring the stock, probably as a one-dollar sale. I am not transferring the 47 items right now on my cards - publications in the works just now.""","Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1976,1,18,1976-1-18,,,Donald J. Grout,Armen Carapetyan,"Grout acknowledges the ""problem-bombshell"" from IRS; AMS is showing ""fatty degeneration of the brain.""","Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1976,2,6,1976-2-6,,,Armen Carapetyan,Donald J. Grout,"""I have simply transferred at a mere nominal value the stock [of AIM] to Hänssler [Verlag] just to be rid of it, since what was a big help in getting out new things has now become a terrible liability. The ironic, this crazy world. For the rest all will go on as before, alas, with all the editorial work on my shoulders and all the headache of looking after production. But eventually there may be an easier transition, at least on the production end... it makes me feel comfortable to know that you agree that the AMS would not carry on apace and at expected quality even.""","Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1976,3,22,1976-3-22,44 Via San Leonardo 50125 Florence,Italy,Armen Carapetyan,James Haar,"AIM is not being taken over by Hänssler Verlag: since 1 January 1974, they have been the sole distributer of the publications. Now, the relationship has developed into closer collaboration with the firm, so that the AIM will survive when Carapetyan is no longer living. Carapetyan has never asked for financial support from the AMS. Carapetyan felt that the Jacques Arcadelt subsidy had been poorly referred to by the AMS. Carapetyan offers the impression that Haar was sore about AIM selling to Hänssler and not AMS.",University of Pennsylvania Special Collections,"Ms. Coll. 221 (American Musicological Society records), Box 105, Folder 3017",
1976,4,1,1976-4-1,44 Via San Leonardo 50125 Florence,Italy,James Haar,Armen Carapetyan,Haar disputes Carapetyan's impression of his motives.,University of Pennsylvania Special Collections,"Ms. Coll. 221 (American Musicological Society records), Box 105, Folder 3017",
1976,5,18,1976-5-18,44 Via San Leonardo 50125 Florence,Italy,Armen Carapetyan,James Haar,"""As for a partnership between AMS and AIM, let us face it: Was it not highly doubtful that the work would go apace? This was nobody's fault, but simply by the nature of things. A great deal of time, strong heart and personal dedication would have been needed. Unless the AMS found two or three people and engaged them properly, the wheels would grind to a stop.""",University of Pennsylvania Special Collections,"Ms. Coll. 221 (American Musicological Society records), Box 105, Folder 3017",
1976,6,1,1976-6-1,44 Via San Leonardo 50125 Florence,Italy,Erwin R. Jacobi,Harriette Carapetyan,Jacobi asks for the Carapetyans to write to Hänssler Verlag about his royalty payments.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 34:11",
1976,6,10,1976-6-10,,,Harriette Carapetyan,Erwin R. Jacobi,"Carapetyans have written to Hänssler Verlag about the royalty, and Hänssler will handle the statement. Carapetyan instructs Jacobi to contact Hänssler about any further questions regarding royalty.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 34:11",
1976,6,16,1976-6-16,44 Via San Leonardo 50125 Florence,Italy,Erwin R. Jacobi,Harriette Carapetyan,Jacobi questions AIM's accounting practices.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 34:11",
1976,8,15,1976-8-15,44 Via San Leonardo 50125 Florence,Italy,Armen Carapetyan,Donald J. Grout,"""I am trying to clear my file before a business trip to Germany. So this is only a sign of life. The trip is chiefly for starting off new printers. The Amsterdam firm has exhausted even my store of patience. But it still has some 25 items to complete. To Germany I will go with a ton of [manuscripts].""","Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1976,8,23,1976-8-23,44 Via San Leonardo 50125 Florence,Italy,Donald J. Grout,Armen Carapetyan,Grout will be traveling.,"Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1976,9,28,1976-9-28,44 Via San Leonardo 50125 Florence,Italy,Bonnie Blackburn,Armen Carapetyan,"Blackburn's estimate for the delivery of the first volume of the Johannes Lupi edition was overly optimistic: ""during the last winter and spring my husband and I were devoting much of our time to two sets of page proofs and the index for the Proceedings of the International Josquin [des Prez] Festival-Conference. That is out of our hands now.""",Private,Bonnie Blackburn,
1976,10,8,1976-10-8,44 Via San Leonardo 50125 Florence,Italy,Armen Carapetyan,Gustave Reese,"""[Catherine] Brooks signed a contract in 1951: During 25 years I have shown, it would seem to anyone patience and understanding. But if even now she comes forth with uncertainty, offering, finally to send the edition in a state, especially as regard the texts, about which I cannot feel safe, nor even understand what is meant, I must not be blamed for refusing to go on"", ""I was in Germany two weeks ago and Hänssler [Verlag] showed me a letter from Miss Brooks. I was sad to find that she permitted herself, after informing that she had just retired from her 'University' duties, to imply that I was simply letting her down 'after a long standing contract'""","New York Public Library, Library for the Performing Arts","JPB 92-71 (Gustave Reese papers), Series 1, Folder 194",
1976,10,16,1976-10-16,44 Via San Leonardo 50125 Florence,Italy,Donald J. Grout,Armen and Harriette Carapetyan,Grout offers greetings after his travels.,"Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1976,11,9,1976-11-9,44 Via San Leonardo 50125 Florence,Italy,Armen Carapetyan,Bonnie Blackburn,The transfer from the Netherlands to Germany has been challenging; Carapetyan sends this letter as confirmation that he has accepted the Johannes Lupi edition.,Private,Bonnie Blackburn,
1977,4,11,1977-4-11,44 Via San Leonardo 50125 Florence,Italy,Bonnie Blackburn,Armen Carapetyan,Blackburn explains that delays reflect the difficulty of acquiring a microfilm of a Johannes Lupi motet from Brussels 27088.,Private,Bonnie Blackburn,
1977,5,2,1977-5-2,44 Via San Leonardo 50125 Florence,Italy,Armen Carapetyan,Bonnie Blackburn,"Carapetyan is delighted to meet Blackburn and Lowinsky for dinner in Florence; the engraving for the Johannes Lupi edition will be done ""in the classical manner: on metal plates.""",Private,Bonnie Blackburn,
1977,5,8,1977-5-8,44 Via San Leonardo 50125 Florence,Italy,Armen Carapetyan,Edward Lowinsky,Carapetyan sends his phone number.,"University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Series 1, Box 7, Folder 5",
1977,5,17,1977-5-17,,,Bonnie Blackburn,Armen Carapetyan,Blackburn sets up dinner with the Carapetyans in Florence.,Private,Bonnie Blackburn,
1977,5,20,1977-5-20,44 Via San Leonardo 50125 Florence,Italy,Armen Carapetyan,Edward Lowinsky,Carapetyan thanks Lowinsky and Bonnie Blackburn for their trip to visit him.,"University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Series 1, Box 7, Folder 5",
1977,6,5,1977-6-5,,,Bonnie Blackburn,Armen Carapetyan,"""We cherish the memory of our Florentine weekend, and particularly the evening we spent with the two of you. My husband [Edward Lowinsky] declares that you are one of the most fascinating raconteurs he has ever encountered.""",Private,Bonnie Blackburn,
1977,6,8,1977-6-8,44 Via San Leonardo 50125 Florence,Italy,Armen Carapetyan,Eileen Southern,"Carapetyan acknowledges receipt of Southern's texts for Escorial IV.a.24 and raises a few questions. He warns Southern ""not to expect proofs in short order. We are very heavily laden in the seven series, presently some four dozen items in the works.""","Columbia College Chicago, Center for Black Music Research","Eileen Southern Collection, Box 38, Folder 41",
1977,6,20,1977-6-20,44 Via San Leonardo 50125 Florence,Italy,Eileen Southern,Armen Carapetyan,"Southern remarks that ""Escorial became for me a kind of ivory tower to which I could retreat from the stormy academic world... I have been able to bring a great deal to my classes in Renaissance music at Harvard because of my work with Escorial.""","Columbia College Chicago, Center for Black Music Research","Eileen Southern Collection, Box 38, Folder 41",
1977,7,1,1977-7-1,44 Via San Leonardo 50125 Florence,Italy,Edward Lowinsky,Armen Carapetyan,Lowinsky checked with his doctor about Carapetyan's ailment (it appears to be shingles).,"University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Series 1, Box 7, Folder 5",
1977,7,14,1977-7-14,44 Via San Leonardo 50125 Florence,Italy,Armen Carapetyan,Edward Lowinsky,Walter Pass at the University of Vienna wants to edit the Trent codices; Carapetyan is working on a sample page of the Johannes Lupi edition.,"University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Series 1, Box 7, Folder 5",
1977,7,26,1977-7-26,44 Via San Leonardo 50125 Florence,Italy,Bonnie Blackburn,Armen Carapetyan,Blackburn's longer introduction is taken in the style of Leeman Perkins's CMM edition for Jean Lhéritier,"University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Series 1, Box 7, Folder 5",
1977,7,27,1977-7-27,44 Via San Leonardo 50125 Florence,Italy,Edward Lowinsky,Armen Carapetyan,"""For the Josquin [des Prez] enthusiasts the availability of Heinrich Isaac, [Jean] Mouton, Loyset Compère, Alexander Agricola, Brumel, Gaspar van Weerbecke, and others in invaluable. Only against the background of their music can his achievement be placed in historical perspective and can the individuality of his work be appreciated.""","University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Series 1, Box 7, Folder 5",
